myth,description,google_hits,y_n,category,percentString,percent
Pilgrims wore all black,"Nope. They sported late Elizabethan in-colours: reds, yellows, purples and greens. And no buckle hats!",1490000,y,history,0.15%,0.0015
The First Thanksgiving,Celebrations were recorded 50 years before the 'first' Thanksgiving at Plymouth Colony.,1160000,,history,0.12%,0.00117
US Constitution written on hemp,"Written on parchment, despite the best efforts of stoner revisionists to convince you otherwise. ",417000,,history,0.04%,0.00042
Iron Maidens,Never were medieval torture devices. But 18th century fakes created for sensational circuses. ,414000,,history,0.04%,0.00042
Lie detector ,"No such machine. A polygraph test detects arousal, not lies. And can be easily faked.",3510000,,law,0.35%,0.00354
Missing Persons Reports,"Police do not demand a 24 hour period before they accept a missing persons report, especially if violence is involved.",634000,y,Law,0.06%,0.00064
You have to say if you're a cop,US Police working entrapment law do not have to identify themselves. A hollywood-induced myth. ,436000,,Law,0.04%,0.00044
Get 'Closure',"No evidence this mythical emotional end state is ever achieved by victims of trauma, bereavement or loss.",33400000,,mind,3.37%,0.03368
Hard-wired,The brain is actually incredibly fluid & plastic. So virtually no psychological capacities are 'hard-wired' from birth.,23400000,,mind,2.36%,0.0236
Steep Learning Curve,Actually means a skill that is easy and quick to learn. Think about it. The curve just goes up and up. ,7770000,,mind,0.78%,0.00784
Chemical Imbalance,Simplistic. Thank pharma for the idea that major depression is caused by an imbalance of neurotransmitters likeserotonin. ,1580000,,mind,0.16%,0.00159
Dogs sweat by salivating,They regulate temperature through panting but sweat through footpads.,1280000,,Nature,0.13%,0.00129
Dropping a penny from a tall building could kill someone,Terminal velocity is 30-50mph which isn't fast enough. It would hurt though.,1870000,drop penny kill someone,physics,0.19%,0.00189
Flushed water rotates the otherway in the Southern Hemisphere,"The Coriolis effect,  induced by the Earth's rotation, does not affect the small amounts of water in toilets, bathtubs.",1850000,flushed water southern hemisphere,physics,0.19%,0.00187
Lightning never strikes twice,No reason why it wouldn't; the Empire State building gets struck about 100 times per year.,945000,"""lightning never strikes twice""",physics,0.10%,0.00095
Some people have a photographic memory,"No hard scientific evidence, but memory that mimics a camera is unlikely. Some people just have great memories",1700000,"""photographic memory""",psychology,0.17%,0.00171
Satan rules Hell,Doesn't say this anywhere in the Bible.,36600000,Satan hell,religion,3.69%,0.03691
Jesus was born on December 25th,"December 25 was declared official celebration date in 350CE. Could be guesstimate based on conception, or winter solstice, or Yule.",8230000,Jesus born 25th December,religion,0.83%,0.0083
Islamic matyrs receive 72 virgins,"Nowhere in the Qu'ran, but is reported elsewhere, but is a matter of debate.",2270000,72 virgins,religion,0.23%,0.00229
"A Jihad is a ""holy war""","It actually translates as ""struggle"".",1870000,"jihad is ""holy war""",religion,0.19%,0.00189
Three Wise Men visited Jesus,"Nowhere in the Bible does it specify this. A mash up of Matthew 2 and Isaiah 60:1_3: ""The wise men visited Jesus as a child, in a house"".",1250000,"""Three wise men"" in Bible",religion,0.13%,0.00126
A gene for...,"Genes code for proteins, so there are actually no genes for specific characeristics, esp. not psychological ones. ",375000000,,science,37.81%,0.37814
Scientific Proof,"Proof is incompatible with science which is, by its nature, provisional and self-correcting. Only Maths has proofs. ",243000000,,science,24.50%,0.24504
Antioxidants are good for us,"Antioxidants don't do anything for our health, might actually be harmful. Research shows they have no effect on free-radicals in the body, don't prevent ageing.",30700000,,science,3.10%,0.03096
Water conducts electricity,"Water itself is actually an insulator. It's also a great solvent. The substances it dissolves (salt etc.) contain ions, which do conduct electricity.",28400000,,science,2.86%,0.02864
MSG causes headaches,Anecdotal evidence. But no scientific proof.,1850000,,Science,0.19%,0.00187
There is no gravity on the International Space Station,Gravity is everywhere. Earth's gravity is pretty strong on the ISS - NASA says a person who weighs 100lb on earth still weighs 90lb there.,1540000,,science,0.16%,0.00155
Great Wall of China visible from Space,Myth. ,1110000,y,Science,0.11%,0.00112
Glass is a liquid,"Has both solid and liquid properties. ""This is why stained glass windows are thicker at the bottom"" Not true though. Bad manufacturing process is the cause.",1060000,"y,   ""glass is a liquid""",science,0.11%,0.00107
We have 5 senses,"We actually have close to 20 including balance, pain, movement, hunger, thirst, etc.",507000,,science,0.05%,0.00051
"Evolution is just a ""theory""","In science, the word theory  means something more than a conjecture",899000,y,science/nature,0.09%,0.00091
Edison invented the lightbulb,"He made the first practical lightbulb, but it was obsolete within a year. England's Joseph Swan patented a design before him.",1510000,edison invented light bulb,technology,0.15%,0.00152
Planes dump toilet waste at high altitude,"They're emptied on ground. Blue ice is caused accidentally. Trains used to dump on the tracks, though. Dirty trains.",3700000,plane dump toilet,transportation,0.37%,0.00373
